fir_id,crime_type,district,police_station,fir_date,crime_time,status,criminal_id,victim_id,investigating_officer
FIR000001,Narcotics,Shivamogga,Shivamogga Rural,2023-01-03,18:05:45,Closed,CR01802,VI01671,Inspector Shivamogga Rural
FIR000002,Cyber Crime,Gadag,Gadag Rural,2024-06-23,18:32:15,Open,CR01274,VI04415,Inspector Gadag Rural
FIR000003,Domestic Violence,Bagalkot,Bagalkot Rural,2026-04-07,11:34:36,Escalated,CR02811,VI00623,Inspector Bagalkot Rural
FIR000004,Traffic Violation,Bidar,Bidar Rural,2022-05-19,15:16:25,Escalated,CR01689,VI01413,Inspector Bidar Rural
FIR000005,Domestic Violence,Ballari,Ballari East,2022-04-03,23:02:08,Under Investigation,CR01576,VI01861,Inspector Ballari East
FIR000006,Fraud,Chikkaballapur,Chikkaballapur Town,2024-09-01,21:53:44,Escalated,CR00094,VI02970,Inspector Chikkaballapur Town
FIR000007,Assault,Shivamogga,Shivamogga East,2023-03-12,07:53:00,Closed,CR00470,VI04475,Inspector Shivamogga East
FIR000008,Robbery,Haveri,Haveri Rural,2024-04-09,04:27:48,Pending,CR00920,VI00895,Inspector Haveri Rural
FIR000009,Assault,Mandya,Mandya Rural,2024-05-30,08:28:41,Under Investigation,CR00508,VI02685,Inspector Mandya Rural
FIR000010,Narcotics,Bengaluru Urban,Koramangala,2023-05-18,03:50:12,Pending,CR01339,VI03550,Inspector Koramangala
FIR000011,Robbery,Dakshina Kannada,Barke,2022-06-22,19:28:38,Pending,CR01074,VI03004,Inspector Barke
FIR000012,Fraud,Vijayapura,Vijayapura Town,2025-06-29,15:42:56,Pending,CR00036,VI03842,Inspector Vijayapura Town
FIR000013,Domestic Violence,Vijayanagara,Vijayanagara Rural,2022-03-23,22:51:28,Open,CR02858,VI03705,Inspector Vijayanagara Rural
FIR000014,Theft,Vijayapura,Vijayapura Town,2025-03-07,22:40:26,Closed,CR01954,VI00200,Inspector Vijayapura Town
